Local time,Open,High,Low,Close,Volume
02.04.2018 00:00:00.000 GMT+0800,106.249,106.249,106.249,106.249,0
02.04.2018 01:00:00.000 GMT+0800,106.249,106.249,106.249,106.249,0
02.04.2018 02:00:00.000 GMT+0800,106.249,106.249,106.249,106.249,0
02.04.2018 03:00:00.000 GMT+0800,106.249,106.249,106.249,106.249,0
02.04.2018 04:00:00.000 GMT+0800,106.249,106.249,106.249,106.249,0
02.04.2018 05:00:00.000 GMT+0800,106.167,106.268,106.167,106.260,241.63
02.04.2018 06:00:00.000 GMT+0800,106.261,106.405,106.261,106.301,3701.5801
02.04.2018 07:00:00.000 GMT+0800,106.301,106.349,106.253,106.318,4253.4702
02.04.2018 08:00:00.000 GMT+0800,106.320,106.367,106.186,106.281,8543.8799
02.04.2018 09:00:00.000 GMT+0800,106.282,106.381,106.231,106.337,6279.8301
02.04.2018 10:00:00.000 GMT+0800,106.336,106.350,106.280,106.326,5011.52
02.04.2018 11:00:00.000 GMT+0800,106.325,106.390,106.304,106.357,3742.78
02.04.2018 12:00:00.000 GMT+0800,106.358,106.369,106.303,106.331,4042.3799
02.04.2018 13:00:00.000 GMT+0800,106.330,106.377,106.300,106.313,3506.3701
02.04.2018 14:00:00.000 GMT+0800,106.312,106.361,106.284,106.330,2883.29
02.04.2018 15:00:00.000 GMT+0800,106.329,106.331,106.276,106.290,2226.1699
02.04.2018 16:00:00.000 GMT+0800,106.289,106.317,106.268,106.283,1549.98
02.04.2018 17:00:00.000 GMT+0800,106.283,106.292,106.263,106.291,827.64
02.04.2018 18:00:00.000 GMT+0800,106.292,106.318,106.285,106.285,1448.51
02.04.2018 19:00:00.000 GMT+0800,106.287,106.307,106.264,106.280,2869.01
02.04.2018 20:00:00.000 GMT+0800,106.279,106.429,106.267,106.427,5761.3799
02.04.2018 21:00:00.000 GMT+0800,106.426,106.448,106.341,106.353,8807.7695
02.04.2018 22:00:00.000 GMT+0800,106.352,106.439,106.208,106.220,9994.46
02.04.2018 23:00:00.000 GMT+0800,106.219,106.230,105.944,105.995,10509.5703
03.04.2018 00:00:00.000 GMT+0800,105.995,106.121,105.987,106.014,9396.1201
03.04.2018 01:00:00.000 GMT+0800,106.012,106.034,105.666,105.667,13107.79
03.04.2018 02:00:00.000 GMT+0800,105.666,105.872,105.657,105.848,13169.2305
03.04.2018 03:00:00.000 GMT+0800,105.847,105.946,105.820,105.898,9287.6201
03.04.2018 04:00:00.000 GMT+0800,105.897,105.947,105.878,105.878,2673.8799
03.04.2018 05:00:00.000 GMT+0800,105.878,105.911,105.816,105.847,6719.5
03.04.2018 06:00:00.000 GMT+0800,105.847,105.887,105.833,105.834,1743.66
03.04.2018 07:00:00.000 GMT+0800,105.833,105.848,105.738,105.795,3804.9199
03.04.2018 08:00:00.000 GMT+0800,105.796,105.854,105.692,105.810,7761.1802
03.04.2018 09:00:00.000 GMT+0800,105.809,105.936,105.799,105.861,7784.5298
03.04.2018 10:00:00.000 GMT+0800,105.861,105.953,105.819,105.904,5060.5098
