date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2017-01-03 00:00:00,1.05163,1.0465,1.05163,1.0456,1.05306,1.04674,1.05306,1.04584,6835
2017-01-03 01:00:00,1.0465,1.04745,1.04796,1.04632,1.04674,1.04771,1.04823,1.04658,9683
2017-01-03 02:00:00,1.04745,1.04707,1.04768,1.04695,1.04771,1.04733,1.04795,1.0472,8205
2017-01-03 03:00:00,1.04707,1.04835,1.04836,1.047,1.04733,1.04862,1.04862,1.04725,7245
2017-01-03 04:00:00,1.04835,1.04871,1.04887,1.04805,1.04862,1.04897,1.04913,1.04831,4920
2017-01-03 05:00:00,1.04871,1.04809,1.04889,1.04801,1.04897,1.04836,1.04915,1.04828,5429
2017-01-03 06:00:00,1.04809,1.04867,1.04879,1.04797,1.04836,1.04894,1.04905,1.04825,6260
2017-01-03 07:00:00,1.04867,1.04591,1.04875,1.04523,1.04894,1.04615,1.04901,1.04548,18527
2017-01-03 08:00:00,1.04591,1.0434,1.04649,1.04193,1.04615,1.04366,1.04671,1.04218,27209
2017-01-03 09:00:00,1.0434,1.04007,1.0435,1.0399,1.04366,1.04031,1.04378,1.04014,25079
2017-01-03 10:00:00,1.04007,1.03953,1.04153,1.03947,1.04031,1.03977,1.04178,1.03972,18017
2017-01-03 11:00:00,1.03953,1.0393,1.03985,1.038,1.03977,1.03955,1.04009,1.03826,20625
2017-01-03 12:00:00,1.0393,1.03878,1.03932,1.03739,1.03955,1.03902,1.03957,1.03762,20467
2017-01-03 13:00:00,1.03878,1.03903,1.03907,1.03806,1.03902,1.03927,1.03931,1.03831,16548
2017-01-03 14:00:00,1.03903,1.03873,1.04068,1.03835,1.03927,1.03915,1.04092,1.03858,18350
2017-01-03 15:00:00,1.03873,1.03831,1.03889,1.03391,1.03915,1.03857,1.0392,1.03417,47314
2017-01-03 16:00:00,1.03831,1.0414,1.04324,1.03773,1.03857,1.04166,1.04349,1.03799,42403
2017-01-03 17:00:00,1.0414,1.04259,1.04273,1.04089,1.04166,1.04284,1.04297,1.04113,13321
2017-01-03 18:00:00,1.04259,1.04139,1.04304,1.04122,1.04284,1.04164,1.0433,1.04146,12385
2017-01-03 19:00:00,1.04139,1.04096,1.04139,1.04042,1.04164,1.04118,1.04164,1.04066,9004
2017-01-03 20:00:00,1.04096,1.04009,1.04161,1.04008,1.04118,1.04033,1.04185,1.04031,10169
2017-01-03 21:00:00,1.04009,1.04037,1.0406,1.04004,1.04033,1.04076,1.04084,1.04029,4625
2017-01-03 22:00:00,1.04037,1.04078,1.04112,1.04024,1.04076,1.04111,1.04147,1.04051,1874
2017-01-03 23:00:00,1.04078,1.04163,1.04227,1.04071,1.04111,1.0419,1.04256,1.04108,12330
2017-01-04 00:00:00,1.04163,1.03932,1.04166,1.0391,1.0419,1.0396,1.04194,1.03931,13884
2017-01-04 01:00:00,1.03932,1.03921,1.0401,1.03886,1.0396,1.03947,1.04036,1.03908,14206
2017-01-04 02:00:00,1.03921,1.04044,1.04052,1.0392,1.03947,1.04069,1.04078,1.03946,10888
2017-01-04 03:00:00,1.04044,1.04041,1.04069,1.03964,1.04069,1.04066,1.04094,1.0399,7998
2017-01-04 04:00:00,1.04041,1.04014,1.04083,1.04013,1.04066,1.0404,1.04108,1.04039,6706
2017-01-04 05:00:00,1.04014,1.04055,1.04079,1.04004,1.0404,1.0408,1.04106,1.0403,5451
2017-01-04 06:00:00,1.04055,1.0405,1.04134,1.0398,1.0408,1.04076,1.0416,1.04007,8470
2017-01-04 07:00:00,1.0405,1.0416,1.04202,1.04044,1.04076,1.04185,1.04228,1.04069,15002
2017-01-04 08:00:00,1.0416,1.04324,1.04389,1.04142,1.04185,1.0435,1.04416,1.04167,24357
2017-01-04 09:00:00,1.04324,1.04369,1.04444,1.04271,1.0435,1.04397,1.0447,1.04296,20857
2017-01-04 10:00:00,1.04369,1.04314,1.04427,1.04259,1.04397,1.04339,1.04453,1.04281,19186
2017-01-04 11:00:00,1.04314,1.04301,1.04441,1.04263,1.04339,1.04327,1.04466,1.04287,17855
2017-01-04 12:00:00,1.04301,1.04326,1.04403,1.04222,1.04327,1.04351,1.04427,1.04247,19207
2017-01-04 13:00:00,1.04326,1.0438,1.04452,1.04266,1.04351,1.04404,1.04479,1.04292,19038
2017-01-04 14:00:00,1.0438,1.04609,1.04626,1.04354,1.04404,1.04634,1.04653,1.04379,27619
2017-01-04 15:00:00,1.04609,1.04748,1.048,1.04522,1.04634,1.04772,1.04821,1.04549,28848
2017-01-04 16:00:00,1.04748,1.04741,1.04903,1.04701,1.04772,1.04766,1.04929,1.04726,21875
2017-01-04 17:00:00,1.04741,1.04705,1.04826,1.04681,1.04766,1.0473,1.04852,1.04705,11487
2017-01-04 18:00:00,1.04705,1.04765,1.04813,1.04662,1.0473,1.04798,1.04839,1.04687,8506
2017-01-04 19:00:00,1.04765,1.0465,1.04988,1.04506,1.04798,1.04677,1.05015,1.04531,38474
2017-01-04 20:00:00,1.0465,1.04849,1.04857,1.04625,1.04677,1.04876,1.04883,1.04649,13835
2017-01-04 21:00:00,1.04849,1.04853,1.04941,1.04794,1.04876,1.04933,1.04966,1.04819,7759
2017-01-04 22:00:00,1.04853,1.04852,1.04894,1.04813,1.04933,1.04894,1.04943,1.04852,3193
2017-01-04 23:00:00,1.04852,1.04958,1.05003,1.04796,1.04894,1.04985,1.05028,1.04822,6832
2017-01-05 00:00:00,1.04958,1.05393,1.05393,1.04948,1.04985,1.05421,1.05421,1.04977,33719
2017-01-05 01:00:00,1.05393,1.05181,1.05397,1.05088,1.05421,1.05206,1.05425,1.05114,22199
2017-01-05 02:00:00,1.05181,1.05134,1.05275,1.05099,1.05206,1.0516,1.05302,1.05124,15260
2017-01-05 03:00:00,1.05134,1.05192,1.05262,1.05126,1.0516,1.05217,1.05286,1.05152,11456
2017-01-05 04:00:00,1.05192,1.05251,1.05276,1.05163,1.05217,1.05277,1.05302,1.05189,7802
2017-01-05 05:00:00,1.05251,1.05402,1.05624,1.05225,1.05277,1.05427,1.0565,1.05251,22067
2017-01-05 06:00:00,1.05402,1.05652,1.05738,1.05394,1.05427,1.05681,1.05765,1.05419,21273
2017-01-05 07:00:00,1.05652,1.05585,1.05675,1.05419,1.05681,1.0561,1.05701,1.05445,29241
2017-01-05 08:00:00,1.05585,1.05141,1.05689,1.05035,1.0561,1.05167,1.05716,1.05059,40637
2017-01-05 09:00:00,1.05141,1.05035,1.05227,1.05004,1.05167,1.05062,1.05249,1.05029,26209
2017-01-05 10:00:00,1.05035,1.04874,1.05124,1.04863,1.05062,1.049,1.05149,1.04889,19632
2017-01-05 11:00:00,1.04874,1.04924,1.05,1.04813,1.049,1.04949,1.05025,1.04837,18521
2017-01-05 12:00:00,1.04924,1.05001,1.05171,1.04907,1.04949,1.05025,1.05196,1.04931,20696
2017-01-05 13:00:00,1.05001,1.05294,1.05414,1.04923,1.05025,1.05318,1.05439,1.04947,44677
2017-01-05 14:00:00,1.05294,1.05435,1.055,1.05268,1.05318,1.05466,1.05524,1.05291,30634
2017-01-05 15:00:00,1.05435,1.06013,1.06079,1.05348,1.05466,1.06037,1.06104,1.05376,57537
2017-01-05 16:00:00,1.06013,1.05976,1.06141,1.05846,1.06037,1.06,1.06166,1.05868,44222
2017-01-05 17:00:00,1.05976,1.0597,1.06001,1.05905,1.06,1.05994,1.06025,1.05931,16858
2017-01-05 18:00:00,1.0597,1.0599,1.06063,1.05895,1.05994,1.06014,1.06086,1.05921,14607
2017-01-05 19:00:00,1.0599,1.05906,1.05999,1.05857,1.06014,1.05932,1.06024,1.05882,12437
2017-01-05 20:00:00,1.05906,1.05978,1.05983,1.05872,1.05932,1.06004,1.06007,1.05898,9553
2017-01-05 21:00:00,1.05978,1.06039,1.06086,1.05977,1.06004,1.06096,1.06112,1.06002,5721
2017-01-05 22:00:00,1.06039,1.06,1.06067,1.05965,1.06096,1.06042,1.06108,1.06009,2258
2017-01-05 23:00:00,1.06,1.06028,1.06119,1.06,1.06042,1.06055,1.06146,1.06039,9491
2017-01-06 00:00:00,1.06028,1.05892,1.06059,1.05842,1.06055,1.05917,1.06087,1.05866,17502
